ivestas_pavadinimas,ivestas_kodas,rastas_pavadinimas,kodas,kodo_atitikimas,amzius,starto_data,vadovas,adresas,mobilus_telefonas,tinklalapis
"Rokiškio lopšelis-darželis ""Varpelis""",190237765,"Rokiškio lopšelis-darželis ""Varpelis""",190237765,TAIP,31 metai 4 mėnesiai 30 dienų,1994-10-26,"Sigita Baranovskienė, direktorė","Jaunystės g. 15, LT-42152 Rokiškis",+370 458 52229,
"Visagino vaikų lopšelis - darželis ""Ąžuoliukas""",190231730,"Visagino vaikų lopšelis-darželis ""Ąžuoliukas""",190231730,TAIP,31 metai 6 mėnesiai 11 dienų,1994-09-13,,"Sedulinos al. 51, LT-31231 Visaginas",+370 386 72470,
"Visagino vaikų lopšelis-darželis ""Gintarėlis""",190231011,"Visagino vaikų lopšelis-darželis ""Gintarėlis""",190231011,TAIP,31 metai 6 mėnesiai 11 dienų,1994-09-13,"Aušra Šileikienė, direktorė","Draugystės g. 19, LT-31211 Visaginas",+370 386 74520,
Visagino šeimos ir vaiko gerovės centras,190230824,Visagino šeimos ir vaiko gerovės centras,190230824,TAIP,31 metai 6 mėnesiai 12 dienų,1994-09-13,"Irina Ziuziova, direktorė","Statybininkų g. 7, LT-31137 Visaginas",+370 386 75280,http://www.vpvc.lt
"Visagino lopšelis-darželis ""Auksinis gaidelis"" (Vaikystės pedagogikos centras)",190230639,"Visagino lopšelis-darželis ""Auksinis gaidelis"" (Vaikystės pedagogikos centras)",190230639,TAIP,31 metai 6 mėnesiai 12 dienų,1994-09-13,Irina Petrova,"Tarybų g. 9, LT-31134 Visaginas",+370 657 83882,http://www.auksinisgaidelis.lt
"Visagino vaikų lopšelis-darželis ""Auksinis raktelis""",190230443,"Visagino vaikų lopšelis-darželis ""Auksinis raktelis""",190230443,TAIP,31 metai 6 mėnesiai 11 dienų,1994-09-13,"Elena Čekienė, direktorė","Taikos pr. 20, LT-31110 Visaginas",+370 698 47768,http://raktelis.mir.lt
"Visagino vaikų lopšelis-darželis ""Kūlverstukas""",190230258,"Visagino vaikų lopšelis-darželis ""Kūlverstukas""",190230258,TAIP,,1994-09-13,,"Kosmoso g. 12, LT-31104 Visaginas",,
"Rokiškio lopšelis-darželis ""Pumpurėlis""",190227995,"Rokiškio lopšelis-darželis „Pumpurėlis""",190227995,TAIP,31 metai 5 mėnesiai,1994-10-24,"Skirmantė Krasauskaitė, direktorė","Jaunystės g. 14, LT-42148 Rokiškis",+370 458 51221,
"Rokiškio lopšelis-darželis ""Nykštukas""",190227842,Rokiškio lopšelis-darželis „Nykštukas“,190227842,TAIP,31 metai 6 mėnesiai 23 dienos,1994-09-02,Kristina Gasiūnienė,"Laisvės g. 15, LT-42116 Rokiškis",+370 458 51093,http://rokiskionykstukas.lt/
Zarasų rajono savivaldybės kultūros centras,190217015,Zarasų rajono savivaldybės kultūros centras,190217015,TAIP,28 metai 4 mėnesiai 11 dienų,1997-11-14,Valentina Biveinienė,"Vytauto g. 1A, LT-32130 Zarasai",+370 611 61892,http://www.zkc.lt
Zarasų rajono savivaldybės viešoji biblioteka,190213860,Zarasų rajono savivaldybės viešoji biblioteka,190213860,TAIP,27 metai 8 mėnesiai 17 dienų,1998-07-08,Jolanta Lementauskienė,"D. Bukonto g. 20, LT-32132 Zarasai",+370 676 37824,http://www.zarasubiblioteka.lt
"Prienų lopšelis-darželis ""Gintarėlis""",190213141,"Prienų lopšelis-darželis ""Gintarėlis""",190213141,TAIP,,1995-06-14,,"Statybininkų g. 17, LT-59136 Prienai",,
Zarasų rajono Dusetų meno mokykla,190212769,Zarasų rajono Dusetų meno mokykla,190212769,TAIP,,1995-08-08,,"Vytauto g. 56, Dusetos, LT-32309 Zarasų r.",,
"Prienų lopšelis-darželis ""Saulutė""",190212573,"Prienų Lopšelis-Darželis ""Saulutė""",190212573,TAIP,30 metų 9 mėnesiai 10 dienų,1995-06-14,"Rita Drazdauskienė, direktorė","Kauno g. 2C, LT-59147 Prienai",+370 687 58939,http://www.saulute.prienai.lm.lt
Zarasų Fausto Latėno meno mokykla,190212420,Zarasų Fausto Latėno meno mokykla,190212420,TAIP,30 metų 7 mėnesiai 17 dienų,1995-08-08,"Rasa Juškėnienė, direktorė","Dariaus ir Girėno g. 11, LT-32129 Zarasai",+370 385 30579,http://www.zmm.lt
Zarasų sporto centras,190212235,Zarasų sporto centras,190212235,TAIP,30 metų 7 mėnesiai 17 dienų,1995-08-08,Žygimantas Sinkevičius,"P. Širvio g. 7, LT-32124 Zarasai",+370 607 17141,http://www.sportas.zarasai.lm.lt
"Birštono lopšelis-darželis ""Giliukas""",190211852,"Birštono lopšelis-darželis ""Giliukas""",190211852,TAIP,30 metų 9 mėnesiai 10 dienų,1995-06-15,"Regina Gustaitienė, direktorius","Pušų g. 2, LT-59219 Birštonas",+370 687 79460,http://www.bvdarzelis-mokykla.lt
Zarasų r. Antazavės Juozo Gruodžio pagrindinė mokykla,190205194,Zarasų r. Antazavės Juozo Gruodžio pagrindinė mokykla,190205194,TAIP,30 metų 7 mėnesiai 17 dienų,1995-08-08,"Aldona Svidinskienė, direktorius","Dvaro g. 4, Antazavės k., Zarasų r.",+370 385 41418,http://www.antazavesmokykla.lt
Zarasų r. Dusetų Kazimiero Būgos gimnazija,190204669,Zarasų r. Dusetų Kazimiero Būgos gimnazija,190204669,TAIP,30 metų 7 mėnesiai 16 dienų,1995-08-08,Dalia Deinienė,"Vytauto g. 56, Dusetos, LT-32309 Zarasų r.",+370 385 56534,https://kbuga.lt
"Zarasų ""Santarvės"" pradinė mokykla",190203948,"Zarasų ""Santarvės"" pradinė mokykla",190203948,TAIP,30 metų 7 mėnesiai 17 dienų,1995-08-08,Daiva Šileikienė,"Vytauto g. 16, LT-32110 Zarasai",+370 385 51904,https://santarvespm.lt/
Prienų sporto centras,190203567,Prienų sporto centras,190203567,TAIP,30 metų 9 mėnesiai 16 dienų,1995-06-09,Paulius Ivanauskas,"Pramonės g. 20, LT-59145 Prienai",+370 319 60051,http://www.prienusportas.lt
Zarasų Pauliaus Širvio progimnazija,190203229,Zarasų Pauliaus Širvio progimnazija,190203229,TAIP,28 metai 3 mėnesiai 6 dienos,1997-12-19,"Aldona Navickienė, direktorius","P. Širvio g. 7, LT-32124 Zarasai",+370 672 53125,http://www.sirviomokykla.lt
"Zarasų ""Ąžuolo"" gimnazija",190202999,Zarasų Ąžuolo gimnazija,190202999,TAIP,29 metai 6 mėnesiai 27 dienos,1996-08-28,"Rimantas Bikulčius, direktorius","Savanorių g. 1, LT-32110 Zarasai",+370 385 52376,http://www.gimnazija.dar.lt
Prienų meno mokykla,190202465,Prienų meno mokykla,190202465,TAIP,31 metai 22 dienos,1995-03-02,"Aida Pūraitė-Jankauskė, direktorė","Kauno g. 2C, LT-59147 Prienai",+370 319 52979,https://prienumm.lt/
Prienų rajono Jiezno paramos šeimai centras,190201025,Prienų rajono Jiezno paramos šeimai centras,190201025,TAIP,27 metai 11 mėnesių 26 dienos,1998-03-30,"Jūratė Virginija Žukauskienė, direktorius","Sodo g. 13, Jieznas, LT-59424 Prienų r.",+370 319 57497,http://www.jieznovaikai.lt
Prienų r. Šilavoto pagrindinė mokykla,190198344,Prienų r. Šilavoto pagrindinė mokykla,190198344,TAIP,,1995-03-02,,"Trakelio g. 1A, Šilavotas, LT-59272 Prienų r.",,http://www.silavotas.prienai.lm.lt
Prienų r. Skriaudžių pagrindinė mokykla,190197819,Prienų r. Skriaudžių pagrindinė mokykla,190197819,TAIP,,1995-03-02,,"Jaunimo g. 5A, Skriaudžių k., LT-59277 Prienų r.",,https://www.mokykla.eu
Mažeikių Henriko Nagio viešoji biblioteka,190196674,Mažeikių Henriko Nagio viešoji biblioteka,190196674,TAIP,28 metai 2 mėnesiai 10 dienų,1998-01-15,"Alina Bernotienė, direktorė","Laisvės g. 31, LT-89225 Mažeikiai",+370 443 25949,http://www.mrvb.lt
Mažeikių dailės mokykla,190196336,Mažeikių dailės mokykla,190196336,TAIP,30 metų 9 mėnesiai 22 dienos,1995-06-02,Laima Mikalauskienė,"Draugystės g. 32, Mažeikiai",+370 616 83977,http://www.mdaile.lt
Prienų r. Išlaužo pagrindinė mokykla,190194851,Prienų r. Išlaužo pagrindinė mokykla,190194851,TAIP,,1995-03-02,,"Mokyklos g. 1, Išlaužo k., LT-59305 Prienų r.",,http://www.islauzas.prienai.lm.lt
Mažeikių Vytauto Klovos muzikos mokykla,190194470,Mažeikių Vytauto Klovos muzikos mokykla,190194470,TAIP,30 metų 9 mėnesiai 23 dienos,1995-06-02,Vitolda Jasaitė,"V. Burbos g. 9, LT-89218 Mažeikiai",+370 686 46067,http://www.klovamuz.lt
Utenos A. ir M. Miškinių viešoji biblioteka,190194285,Utenos A. ir M. Miškinių viešoji biblioteka,190194285,TAIP,27 metai 8 mėnesiai 16 dienų,1998-07-08,"Vida Garunkštytė, direktorius","Maironio g. 12, LT-28143 Utena",+370 389 61606,http://www.uvb.lt
Mažeikių vaikų ir jaunimo daugiafunkcis centras,190193379,Mažeikių vaikų ir jaunimo daugiafunkcis centras,190193379,TAIP,30 metų 8 mėnesiai 6 dienos,1995-07-19,"Augustas Petkus, direktorius","Pavenčių g. 2, LT-89189 Mažeikiai",+370 443 26051,http://www.mazeikiuvjdc.lt
Prienų r. Veiverių Tomo Žilinsko gimnazija,190193030,Prienų r. Veiverių Tomo Žilinsko gimnazija,190193030,TAIP,,1995-06-13,,"Kauno g. 29, Veiveriai, LT-59292 Prienų r.",,http://www.vtzg.lt
Mažeikių sporto mokykla,190192996,Mažeikių sporto mokykla,190192996,TAIP,31 metai 5 mėnesiai 4 dienos,1994-10-20,"Algirdas Pocevičius, direktorius","Pavenčių g. 15, LT-89184 Mažeikiai",+370 443 90060,
Mažeikių moksleivių namai,190192462,Mažeikių moksleivių namai,190192462,TAIP,31 metai 5 mėnesiai 4 dienos,1994-10-20,"Rasa Jurgaitienė, direktorė","Žemaitijos g. 4, LT-89149 Mažeikiai",+370 443 79891,https://moksleiviunamai.lt/
Prienų r. Stakliškių gimnazija,190192277,Prienų r. Stakliškių gimnazija,190192277,TAIP,,1995-03-02,,"Prienų g. 8, Stakliškių k., LT-59370 Prienų r.",,https://stakliskiugimnazija.lt/
Mažeikių r. Židikų Marijos Pečkauskaitės gimnazija,190191894,Mažeikių r. Židikų Marijos Pečkauskaitės gimnazija,190191894,TAIP,31 metai 5 mėnesiai 5 dienos,1994-10-20,"Rima Širvinskienė, direktorius","Dariaus ir Girėno g. 14, Židikai, LT-89443 Mažeikių r.",+370 610 69470,http://www.zidikai.lt
Utenos daugiafunkcis sporto centras,190191175,Utenos daugiafunkcis sporto centras,190191175,TAIP,31 metai 23 dienos,1995-03-02,Mindaugas Kildišius,"K. Donelaičio g. 38, Utena",+370 389 52709,https://utenosdsc.lt/
Utenos meno mokykla,190190792,Utenos meno mokykla,190190792,TAIP,31 metai 23 dienos,1995-03-02,"Arūnas Katinas, direktorius","Maironio g. 11, LT-28142 Utena",+370 389 61626,
"Prienų ""Ąžuolo"" progimnazija",190190269,"Prienų ""Ąžuolo"" progimnazija",190190269,TAIP,31 metai 23 dienos,1995-03-02,,"Kęstučio g. 45, LT-59129 Prienai",+370 319 51118,http://www.azuolas.prienai.lm.lt
"Prienų ""Revuonos"" pagrindinė mokykla",190189861,"Prienų ""Revuonos"" pagrindinė mokykla",190189861,TAIP,31 metai 23 dienos,1995-03-02,"Ilona Balčiukynienė, direktorius","Dariaus ir Girėno g. 6, LT-59114 Prienai",+370 319 60211,
"Prienų ""Žiburio"" gimnazija",190189676,Prienų Žiburio gimnazija,190189676,TAIP,30 metų 9 mėnesiai 15 dienų,1995-06-09,"Irma Kačinauskienė, direktorė","J. Basanavičiaus g. 1, LT-59129 Prienai",+370 319 52430,https://ziburys.prienai.lm.lt
Prienų r. Pakuonio pagrindinė mokykla,190189523,Prienų r. Pakuonio pagrindinė mokykla,190189523,TAIP,,1994-10-19,,"Sodų g. 36, Pakuonis, LT-59317 Prienų r.",,http://www.pakuonis.prienai.lm.lt
Prienų r. Balbieriškio pagrindinė mokykla,190189338,Prienų r. Balbieriškio pagrindinė mokykla,190189338,TAIP,,1995-06-09,,"Klevų g. 33, Balbieriškis, LT-59243 Prienų r.",,http://www.balbieriskis.prienai.lm.lt
Utenos r. Sudeikių daugiafunkcis centras,190186185,Utenos r. Sudeikių daugiafunkcis centras,190186185,TAIP,26 metai 4 mėnesiai 21 diena,1999-11-04,"Vilma Petrulienė, direktorius","Aukštaičių g. 22, Sudeikiai, LT-28405 Utenos r.",+370 389 34332,http://www.sudeikiai.utena.lm.lt
Utenos r. Užpalių gimnazija,190184024,Utenos r. Užpalių gimnazija,190184024,TAIP,31 metai 23 dienos,1995-03-02,"Rimantas Žvirblis, direktorius","Pilies g. 14, Užpaliai, LT-28385 Utenos r.",+370 618 77652,http://www.uzpaliai.utena.lm.lt
Utenos Krašuonos progimnazija,190182692,Utenos Krašuonos progimnazija,190182692,TAIP,31 metai 23 dienos,1995-03-02,"Rolandas Gruodinskas, direktorius","V. Kudirkos g. 5, LT-28229 Utena",+370 441 68010,http://www.krasuona.utena.lm.lt
Utenos Vyturių progimnazija,190182354,Utenos Vyturių progimnazija,190182354,TAIP,31 metai 23 dienos,1995-03-02,Edita Kadūnienė,"Sėlių g. 45, LT-28203 Utena",+370 615 49530,http://www.vyturiai.utena.lm.lt
Utenos Dauniškio gimnazija,190182016,Utenos Dauniškio gimnazija,190182016,TAIP,31 metai 22 dienos,1995-03-02,Nijolė Zabukienė,"Vaižganto g. 48, LT-28185 Utena",+370 618 85541,http://www.dauniskis.utena.lm.lt
"Utenos ""Saulės"" gimnazija",190181633,Utenos Saulės gimnazija,190181633,TAIP,26 metai 6 mėnesiai 25 dienos,1999-08-30,"Nijolė Zabukienė, direktorė","K. Ladygos g. 18, LT-28239 Utena",+370 389 61328,http://www.saule.utena.lm.lt
"Utenos vaikų lopšelis-darželis ""Varpelis""",190181448,"Utenos vaikų lopšelis-darželis ""Varpelis""",190181448,TAIP,31 metai 23 dienos,1995-03-02,,"Aušros g. 58, LT-28149 Utena",+370 389 54558,
"Utenos vaikų lopšelis-darželis ""Gandrelis""",190181252,Utenos vaikų lopšelis-darželis „Gandrelis“,190181252,TAIP,30 metų 6 mėnesiai 24 dienos,1995-09-01,"Diana Kraujalienė, direktorė","Vaižganto g. 38, LT-28196 Utena",+370 389 52502,http://www.gandrelis.utena.lm.lt
"Utenos vaikų lopšelis-darželis ""Saulutė""",190181067,"Utenos vaikų lopšelis-darželis ""Saulutė""",190181067,TAIP,31 metai 23 dienos,1995-03-02,Žibutė Žilinskienė,"Vaižganto g. 54, LT-28186 Utena",+370 664 69588,http://www.saulute.utena.lm.lt
"Zarasų ""Lakštingalos"" mokykla",190177179,"Zarasų ""Lakštingalos"" mokykla",190177179,TAIP,30 metų 7 mėnesiai 17 dienų,1995-08-08,"Rasa Jurevičienė, direktorė","Dariaus ir Girėno g. 30A, LT-32108 Zarasai",+370 385 51362,http://www.zarasudarzelis.lt
Mažeikių Sodų pagrindinė mokykla,190176981,Mažeikių Sodų pagrindinė mokykla,190176981,TAIP,30 metų 9 mėnesiai 18 dienų,1995-06-07,,"Sodų g. 16, Mažeikiai",+370 443 20326,http://www.sodu.mazeikiai.lm.lt
Mažeikių r.Tirkšlių Juozo Vitkaus-Kazimieraičio progimnazija,190176839,Mažeikių r.Tirkšlių Juozo Vitkaus-Kazimieraičio progimnazija,190176839,TAIP,31 metai 5 mėnesiai 5 dienos,1994-10-20,"Dovilė Budreckienė, direktorė","Mokyklos g. 8, Tirkšliai, LT-89328 Mažeikių r.",+370 443 48265,https://tirksliai.mazeikiai.lm.lt
Mažeikių Gabijos gimnazija,190176796,Mažeikių Gabijos gimnazija,190176796,TAIP,31 metai 5 mėnesiai 4 dienos,1994-10-20,"Eduardas Vaičiulis, direktorius","Gabijos tak. 1, LT-89107 Mažeikiai",+370 443 65256,http://www.gabija.simnet.lt
Mažeikių Merkelio Račkausko gimnazija,190176643,Mažeikių Merkelio Račkausko gimnazija,190176643,TAIP,30 metų 9 mėnesiai 17 dienų,1995-06-07,"Asta Žukauskienė, direktorius","Laisvės g. 10, Mažeikiai",+370 620 54550,http://www.rackauskas.lt
Mažeikių r. Užlieknės pagrindinė mokykla,190176458,Mažeikių r. Užlieknės pagrindinė mokykla,190176458,TAIP,,1994-10-20,,"Šiaurės g. 2, Užlieknės k., LT-89322 Mažeikių r.",,
"Utenos vaikų lopšelis-darželis ""Pasaka""",190174820,"Utenos vaikų lopšelis-darželis ""Pasaka""",190174820,TAIP,31 metai 23 dienos,1995-03-02,"Dalia Bislienė, direktorius","Taikos g. 25, LT-28167 Utena",+370 389 72529,
"Utenos vaikų lopšelis - darželis ""Eglutė""",190174788,"Utenos vaikų lopšelis-darželis ""Eglutė""",190174788,TAIP,31 metai 23 dienos,1995-03-02,"Lina Kaziukaitienė, direktorė","Vilniaus g. 26, LT-28248 Utena",+370 645 77458,http://www.eglute.utena.lm.lt
"Utenos vaikų lopšelis-darželis ""Šaltinėlis""",190174635,"Utenos vaikų lopšelis-darželis ""Šaltinėlis""",190174635,TAIP,31 metai 23 dienos,1995-03-02,"Zita Kumpienė, direktorė","J. Basanavičiaus g. 73, LT-28240 Utena",+370 389 55408,
Mažeikių r. Sedos Vytauto Mačernio gimnazija,190164331,Mažeikių r. Sedos Vytauto Mačernio gimnazija,190164331,TAIP,31 metai 5 mėnesiai 5 dienos,1994-10-20,"Aušra Kazlauskienė, direktorius","Dariaus ir Girėno g. 16, Seda, LT-89383 Mažeikių r.",+370 682 56691,http://www.sedosgimnazija.lt
Mažeikių Pavasario progimnazija,190163763,Mažeikių Pavasario progimnazija,190163763,TAIP,30 metų 9 mėnesiai 23 dienos,1995-06-02,"Rolandas Volkovas, direktorius","Pavasario g. 53, LT-89178 Mažeikiai",+370 443 90050,https://www.pavasariomokykla.lt
"Mažeikių r. Tirkšlių darželis ""Giliukas""",190161755,"Mažeikių r. Tirkšlių darželis ""Giliukas""",190161755,TAIP,30 metų 5 mėnesiai 25 dienos,1995-09-30,"Vaida Paulauskienė, direktorė","Dariaus ir Girėno g. 25, Tirkšliai, LT-89328 Mažeikių r.",+370 443 48120,
Viešoji įstaiga Veiverių pirminės sveikatos priežiūros centras,190161417,"Veiverių pirminės sveikatos priežiūros centras, VšĮ",190161417,TAIP,28 metai 5 mėnesiai 21 diena,1997-10-03,"Lina Kazlauskienė, direktorė","Kauno g. 56, Veiveriai, Prienų r.",+370 319 68131,http://www.veiveriupspc.lt
"Mažeikių r. Sedos lopšelis-darželis ""Jurginėlis""",190161374,"Mažeikių r. Sedos lopšelis-darželis ""Jurginėlis""",190161374,TAIP,30 metų 5 mėnesiai 25 dienos,1995-09-30,"Birutė Radavičienė, direktorius","V. Gadono g. 3A, Seda, LT-89379 Mažeikių r.",+370 443 46338,http://www.sedosdarzelis.lt
Viešoji įstaiga Balbieriškio pirminės sveikatos priežiūros centras,190161221,"Balbieriškio pirminės sveikatos priežiūros centras, VšĮ",190161221,TAIP,28 metai 5 mėnesiai 21 diena,1997-10-03,"Angelė Sidaravičienė, vyriausiasis gydytojas","Parko g. 5, Balbieriškis, LT-59241 Prienų r.",+370 687 71062,http://www.balbieriskiopspc.lt
"Prienų rajono-Birštono diabeto klubas ""Versmė""",190161189,"Prienų rajono-Birštono diabeto klubas ""Versmė""",190161189,TAIP,33 metai 9 mėnesiai 3 dienos,1992-06-22,"Birutė Bartkevičiūtė, pirmininkas","Birutės g. 10A, Birštonas",+370 319 55368,
Viešoji įstaiga Prienų ligoninė,190160991,"Prienų ligoninė, VšĮ",190160991,TAIP,28 metai 5 mėnesiai 21 diena,1997-10-03,"Jūratė Milaknienė, direktorė","Pušyno g. 2, LT-59115 Prienai",+370 319 60462,http://www.prienuligonine.lt
"Mažeikių lopšelis-darželis ""Linelis""",190160849,"Mažeikių lopšelis-darželis ""Linelis""",190160849,TAIP,30 metų 5 mėnesiai 25 dienos,1995-09-30,"Saulė Sadauskienė, direktorė","M. Daukšos g. 38, LT-89161 Mažeikiai",+370 443 20780,http://www.linelis.eu
Mažeikių Kalnėnų progimnazija,190160653,Mažeikių Kalnėnų progimnazija,190160653,TAIP,29 metai 6 mėnesiai 24 dienos,1996-09-01,"Regina Arbatauskienė, direktorius","Pavenčių g. 3, LT-89187 Mažeikiai",+370 443 20367,https://www.kalnenumokykla.lt
"Mažeikių lopšelis-darželis ""Bitutė""",190160315,"Mažeikių lopšelis-darželis ""Bitutė""",190160315,TAIP,30 metų 5 mėnesiai 24 dienos,1995-09-30,Direktorė Janina Karpinskienė,"Naftininkų g. 7, LT-89239 Mažeikiai",+370 443 75581,http://www.bitute-darzelis.lt
"Mažeikių lopšelis-darželis ""Žilvitis""",190158969,"Mažeikių lopšelis-darželis ""Žilvitis""",190158969,TAIP,30 metų 5 mėnesiai 24 dienos,1995-09-30,Meilutė Paulauskaitė,"Sodų g. 17, LT-89113 Mažeikiai",+370 687 77088,http://www.zilvitismazeikiai.lt/
Mažeikių Senamiesčio progimnazija,190158435,Mažeikių Senamiesčio progimnazija,190158435,TAIP,31 metai 5 mėnesiai 5 dienos,1994-10-20,Virginijus Laureckis,"Vydūno g. 6, LT-89225 Mažeikiai",+370 443 27479,http://senamiestismazeikiai.lt
"Mažeikių lopšelis - darželis ""Eglutė""",190157333,"Mažeikių lopšelis-darželis ""Eglutė""",190157333,TAIP,30 metų 5 mėnesiai 25 dienos,1995-09-30,"Rima Daugnorienė, direktorė","Gamyklos g. 29, LT-89110 Mažeikiai",+370 618 40267,https://www.eglute-mazeikiai.lt/
Kupiškio rajono savivaldybės kultūros centras,190157290,Kupiškio rajono savivaldybės kultūros centras,190157290,TAIP,26 metai 5 mėnesiai 6 dienos,1999-10-19,Malvina Zimblienė,"Gedimino g. 40, LT-40129 Kupiškis",+370 619 15046,http://www.kupiskis.lt
"Mažeikių lopšelis-darželis ""Saulutė""",190157148,"Mažeikių lopšelis-darželis ""Saulutė""",190157148,TAIP,30 metų 5 mėnesiai 24 dienos,1995-09-30,"Rasa Baltutienė, direktorė","V. Burbos g. 8, LT-89218 Mažeikiai",+370 443 26071,
Raseinių krašto istorijos muziejus,190151266,Raseinių krašto istorijos muziejus,190151266,TAIP,27 metai 9 mėnesiai 21 diena,1998-06-04,"Birutė Kulpinskaitė, direktorius","Muziejaus g. 3, LT-60122 Raseiniai",+370 663 51100,http://www.raseiniumuziejus.lt
Koncertinė įstaiga Kauno miesto simfoninis orkestras,190149767,Koncertinė įstaiga Kauno miesto simfoninis orkestras,190149767,TAIP,27 metai 2 mėnesiai 20 dienų,1999-01-05,Algimantas Treikauskas,"E. Ožeškienės g. 12, LT-44252 Kaunas",+370 37 204589,http://www.kaunosimfoninis.lt
Kauno sakralinės muzikos mokykla,190144834,Kauno sakralinės muzikos mokykla,190144834,TAIP,30 metų 11 mėnesių 14 dienų,1995-04-10,Kun. dr. Vilius Sikorskas,"M. Valančiaus g. 8, LT-44275 Kaunas",+370 37 425741,http://www.cantoresdavid.lt
Kauno Miko Petrausko scenos menų mokykla,190144791,Kauno Miko Petrausko scenos menų mokykla,190144791,TAIP,30 metų 11 mėnesių 15 dienų,1995-04-10,"Lina Kaubrienė-Stunžėnienė, direktorė","V. Krėvės pr. 54, LT-50401 Kaunas",+370 695 64330,http://www.ksmm.lt
Kauno 1-oji muzikos mokykla,190144649,Kauno 1-oji muzikos mokykla,190144649,TAIP,30 metų 11 mėnesių 14 dienų,1995-04-10,"Mindaugas Labanauskas, direktorius","J. Gruodžio g. 25, LT-44289 Kaunas",+370 37 422834,http://k1mm.kaunas.lm.lt
Kauno Aleksandro Kačanausko muzikos mokykla,190144453,Kauno Aleksandro Kačanausko muzikos mokykla,190144453,TAIP,30 metų 11 mėnesių 15 dienų,1995-04-10,"Arūnas Kigas, direktorius","Aušros g. 32, LT-44158 Kaunas",+370 37 796950,http://www.kacanauskas.kaunaslm.lt
"Kauno berniukų chorinio dainavimo mokykla ""Varpelis""",190144268,"Kauno berniukų chorinio dainavimo mokykla ""Varpelis""",190144268,TAIP,30 metų 11 mėnesių 15 dienų,1995-04-10,"Tomas Ladiga, direktorius","D. Poškos g. 4, LT-44293 Kaunas",+370 37 320486,http://www.varpelis.com
Kauno Antano Martinaičio dailės mokykla,190144072,Kauno Antano Martinaičio dailės mokykla,190144072,TAIP,30 metų 11 mėnesių 20 dienų,1995-04-05,"Margarita Ramonienė, direktorė","Šv. Gertrūdos g. 33, LT-44283 Kaunas",+370 37 203534,http://www.kamdaile.lt
Kauno moksleivių techninės kūrybos centras,190143928,Kauno moksleivių techninės kūrybos centras,190143928,TAIP,30 metų 11 mėnesių 14 dienų,1995-04-10,"Giedrius Vaidelis, direktorius","V. Krėvės pr. 63, LT-50355 Kaunas",+370 37 323582,http://www.mtkc.lt
Kauno Algio Žikevičiaus saugaus vaiko mokykla,190143547,Kauno Algio Žikevičiaus saugaus vaiko mokykla,190143547,TAIP,30 metų 11 mėnesių 15 dienų,1995-04-10,"Rasa Šerpytienė, direktorius","Ašigalio g. 23, Kaunas",+370 37 323200,http://www.saugusvaikas.kaunas.lm.lt
"Kauno krepšinio akademija ""Žalgiris""",190140818,"Kauno krepšinio akademija ""Žalgiris""",190140818,TAIP,30 metų 11 mėnesių 15 dienų,1995-04-10,,"Naglio g. 4E, Kaunas",+370 37 320235,
Kauno Panemunės progimnazija,190140775,Kauno Panemunės progimnazija,190140775,TAIP,30 metų 11 mėnesių 22 dienos,1995-04-03,"Virginija Rupainienė, direktorius","Kariūnų pl. 5, Kaunas",+370 694 53983,http://panemuniukai.lt
"Kauno ""Paparčio"" pradinė mokykla",190140622,"Kauno ""Paparčio"" pradinė mokykla",190140622,TAIP,30 metų 11 mėnesių 22 dienos,1995-04-03,Rūta Barkauskienė,"Šiaurės pr. 35, LT-49198 Kaunas",037312038,http://www.papartis.kaunas.lm.lt
Kauno Milikonių progimnazija,190139997,Kauno Milikonių progimnazija,190139997,TAIP,30 metų 11 mėnesių 22 dienos,1995-04-03,"Janas Ryzgelis, direktorius","Baltijos g. 30, LT-48248 Kaunas",+370 682 17308,http://www.milikoniai.kaunas.lm.lt
"Kauno ""Santaros"" gimnazija",190139844,"Kauno ""Santaros"" gimnazija",190139844,TAIP,30 metų 11 mėnesių 22 dienos,1995-04-03,"Asta Karlienė, direktorė","Baltų pr. 51, LT-48239 Kaunas",+370 676 86044,http://www.santara.kaunas.lm.lt
Kauno Juozo Grušo meno gimnazija,190139659,Kauno Juozo Grušo meno gimnazija,190139659,TAIP,30 metų 11 mėnesių 22 dienos,1995-04-03,Deimantė Karalė,"Šarkuvos g. 30, LT-48169 Kaunas",+370 37 377627,https://gruso.lt
Kauno Jono Basanavičiaus gimnazija,190139463,Kauno Jono Basanavičiaus gimnazija,190139463,TAIP,31 metai 11 mėnesių 22 dienos,1994-04-03,"Sandra Palšauskienė, direktorė","Šarkuvos g. 28, LT-48168 Kaunas",+370 679 12221,http://www.jbasanavicius.kaunas.lm.lt
Kauno Antano Smetonos gimnazija,190139310,Kauno Antano Smetonos gimnazija,190139310,TAIP,,1995-04-03,,"Geležinio Vilko g. 28, LT-49270 Kaunas",,http://www.asmetonosgimnazija.lt
Kauno Tado Ivanausko progimnazija,190139278,Kauno Tado Ivanausko progimnazija,190139278,TAIP,30 metų 11 mėnesių 22 dienos,1995-04-03,"Sigitas Alubauskas, direktorius","Vėtrungės g. 1, LT-48135 Kaunas",+370 37 360245,https://intro.ktip.lt
